Strain,Mean Internal Relative to KN99alpha,SEM,Mean Adherent Relative to KN99alpha,SEM
230,0.644514086,0.026192,1.465064539,0.023271417
236,1.2146338,0.034353395,1.034179143,0.097674572
243,0.842048526,0.029635078,1.336639741,0.018125719
247,1.034463161,0.016035029,0.992006914,0.031597535
250,0.655858434,0.031584815,1.191675483,0.076510375
252,1.313215062,0.017783302,0.885331071,0.012466841
255,0.541349171,0.045770065,1.130202721,0.063829146
262,0.29297725,0.018319019,0.61900673,0.053461299
291,0.84072556,0.024607005,1.254596487,0.025149741
292,0.608987477,0.044682258,1.015654318,0.076399235
300,0.753816919,0.03926845,1.290849543,0.01487925
326,1.131427088,0.090700465,0.883313083,0.124730055
332,0.708550992,0.020598483,1.031555246,0.039786552
357,0.854744557,0.083531012,1.098663748,0.093086044
360,1.046631049,0.016169162,1.186196327,0.033233109
362,0.861100845,0.017127678,0.877688412,0.011937173
377,1.04556053,0.011274427,0.880662592,0.032232185
379,0.716053885,0.034376994,1.00378791,0.058407894
382,1.153543443,0.035542767,0.876306705,0.071668195
389,0.380068781,0.016906443,0.993046515,0.053171614
390,1.024199726,0.027113677,0.995172622,0.05722235
393,1.181973553,0.026209766,0.873063532,0.042538937
395,1.112085579,0.01466912,0.960369981,0.047024869
422,1.168434317,0.057837333,0.953223028,0.127445246
438,1.045515561,0.017170075,0.878139073,0.04392658
443,0.712455893,0.011372351,0.713610687,0.026547419
447,0.564203276,0.014022072,0.903647269,0.027738037
450,1.028177982,0.018030473,1.150196285,0.007712152
461,0.511757376,0.004999666,0.790335655,0.008154366
462,1.075486676,0.066898579,1.237311147,0.051700067
466,0.610849287,0.016247211,0.692296643,0.037512788
468,1.285487933,0.006851767,0.640896936,0.021509429
495,0.871976423,0.052643568,1.213519143,0.059748988
534,0.973965851,0.064480212,0.949845139,0.03351081
535,0.958673945,0.043743305,1.22520313,0.034932462
538,0.365332577,0.024364307,0.486440491,0.02748762
541,0.729759427,0.020087889,1.53802009,0.036330706
546,1.441748537,0.014948151,0.648527408,0.032657058
547,1.12992764,0.01458092,0.886186067,0.028726368
549,0.82939612,0.041234953,1.197183817,0.048676638
