,Line,Line,Exper,Category,Ungated,High,Low
17.05.11 KN @ end.fcs,KN,200,1,c,128,6532,126
17.05.11 KN.fcs,KN,200,1,c,158,8254,162
17.05.11 Neg.fcs,neg,0,1,neg,24.7,,
17.05.16 KN @ end.fcs,KN,200,2,c,3762,9484,112
17.05.16 KN.fcs,KN,200,2,c,5358,11500,164
17.05.16 Neg.fcs,neg,0,2,neg,19.4,,
17.06.02 KN.fcs,KN,200,3,c,525,4779,80.5
17.06.02 Neg.fc,neg,0,3,neg,14,,
17.06.22 KN @ end.fcs,KN,200,4,c,1585,5376,117
17.06.22 KN.fcs,KN,200,4,c,2330,5939,159
17.06.22 Neg.fcs,neg,0,4,neg,17.3,,
17.07.14 KN @ end.fcs,KN,200,5,c,3169,5934,125
17.07.14 KN.fcs,KN,200,5,c,3341,6163,145
17.07.14 Neg.fcs,neg,0,5,neg,17.4,,
230 a.fcs,230,230,4,s,5323,5569,156
230 b.fcs,230,230,4,s,4208,4443,213
230 c.fcs,230,230,4,s,4039,4356,208
236 a.fcs,236,236,4,s,3081,3179,171
236 b.fcs,236,236,4,s,3453,3839,169
236 c.fcs,236,236,4,b,3288,3455,193
243 a.fcs,243,243,5,s,4171,4450,185
243 b.fcs,243,243,5,s,4235,5191,184
243 c.fcs,243,243,5,s,3787,4022,180
247 a.fcs,247,247,4,s,3814,3930,172
247 b.fcs,247,247,4,b,3195,3511,176
247 c.fcs,247,247,4,s,3224,3295,300
250 a.fcs,250,250,4,s,3929,7046,209
250 b.fcs,250,250,4,s,4187,6476,208
250 c.fcs,250,250,4,s,5042,6654,213
252 a.fcs,252,252,4,s,4543,4720,186
252 b.fcs,252,252,4,b,3463,3751,175
252 c.fcs,252,252,4,s,4034,4595,186
255 a.fcs,255,255,4,s,4824,4910,187
255 b.fcs,255,255,4,s,2941,3037,156
255 c.fcs,255,255,4,s,3666,3798,161
262 a.fcs,262,262,4,b,3198,3331,142
262 b.fcs,262,262,4,b,2134,2654,114
262 c.fcs,262,262,4,s,3365,3525,242
291 a.fcs,291,291,4,s,5502,6372,271
291 b.fcs,291,291,4,s,4956,6495,222
291 c.fcs,291,291,4,s,3728,4468,184
292 a.fcs,292,292,4,b,3283,3419,157
292 b.fcs,292,292,4,b,3053,3338,146
292 c.fcs,292,292,4,b,2140,2302,172
300 a.fcs,300,300,1,b,1530,1669,142
300 b.fcs,300,300,1,l,184,4512,159
300 c.fcs,300,300,1,s,1977,2209,157
300 d.fcs,300,300,5,b,2780,3504,154
326 a.fcs,326,326,1,l,288,6670,264
326 b.fcs,326,326,1,s,2899,3376,112
326 c.fcs,326,326,1,l,219,7824,156
326 d.fcs,326,326,4,b,2993,3667,169
326 e.fcs,326,326,5,b,1638,1906,149
332 a.fcs,332,332,1,s,4230,4444,192
332 b.fcs,332,332,1,s,3270,3587,97.2
332 c.fcs,332,332,1,s,4058,4537,132
357 a.fcs,357,357,1,s,5720,7370,225
357 b.fcs,357,357,1,s,3323,3743,123
357 c.fcs,357,357,1,s,3794,3998,146
360 a.fcs,360,360,1,s,1932,1952,146
360 b.fcs,360,360,1,b,2949,3057,137
360 c.fcs,360,360,1,b,3048,3169,139
360 d.fcs,360,360,5,b,3110,3352,136
362 a.fcs,362,362,1,s,2502,2632,106
362 b.fcs,362,362,1,s,3198,3259,116
362 c.fcs,362,362,1,s,3601,3654,152
377 a.fcs,377,377,1,s,3178,3231,110
377 b.fcs,377,377,1,l,201,6948,154
377 c.fcs,377,377,1,s,4609,5027,170
377 d.fcs,377,377,5,s,3218,3558,116
379 a.fcs,379,379,1,s,2797,2825,153
379 b.fcs,379,379,1,s,3601,3999,152
379 c.fcs,379,379,1,b,3620,4448,122
382 a.fcs,382,382,1,s,6374,6964,125
382 b.fcs,382,382,1,s,4003,4163,146
382 c.fcs,382,382,1,s,6636,7058,180
389 a.fcs,389,389,1,s,2068,2099,133
389 b.fcs,389,389,1,s,3507,3716,159
389 c.fcs,389,389,1,l,5053,6447,141
389 d.fcs,389,389,5,b,1875,2045,107
390 a.fcs,390,390,2,s,5242,6102,187
390 b.fcs,390,390,2,b,4315,5375,194
390 c.fcs,390,390,2,s,4081,4169,248
393 a.fcs,393,393,2,l,3072,6908,362
393 b.fcs,393,393,2,l,879,15500,404
393 c.fcs,393,393,2,o,1006,7782,705
393 d.fcs,393,393,4,l,1435,10400,391
393 e.fcs,393,393,5,l,794,7947,324
393 f.fcs,393,393,5,l,2152,4641,217
395 a.fcs,395,395,2,l,285,14400,250
395 b.fcs,395,395,2,l,416,11200,385
395 c.fcs,395,395,2,b,4247,4370,207
395 d.fcs,395,395,5,l,206,8818,200
395 e.fcs,395,395,5,b,2923,3701,128
395 f.fcs,395,395,5,b,4474,4847,158
422 a.fcs,422,422,2,s,5145,5497,221
422 b.fcs,422,422,2,s,6873,7510,261
422 c.fcs,422,422,2,b,3957,4175,244
422 d.fcs,422,422,5,b,3150,3510,148
438 a.fcs,438,438,2,b,3955,4946,125
438 b.fcs,438,438,2,b,4396,5211,195
438 c.fcs,438,438,2,b,4682,4770,257
443 a.fcs,443,443,2,s,5759,6230,148
443 b.fcs,443,443,2,s,5633,6554,214
443 c.fcs,443,443,2,s,4158,4234,186
447 a.fcs,447,447,2,s,4419,5180,195
447 b.fcs,447,447,2,s,6330,7015,257
447 c.fcs,447,447,2,s,3564,3620,279
450 a.fcs,450,450,2,s,4394,5636,164
450 b.fcs,450,450,2,s,4282,5158,187
450 c.fcs,450,450,2,s,4770,4839,337
461 a.fcs,461,461,2,l,3809,4934,162
461 b.fcs,461,461,2,l,3630,5613,177
461 c.fcs,461,461,2,b,2943,3003,193
462 a.fcs,462,462,2,s,4650,5405,166
462 b.fcs,462,462,2,s,4805,5948,196
462 c.fcs,462,462,2,s,5141,5181,414
466 a.fcs,466,466,3,l,2411,4689,171
466 b.fcs,466,466,3,l,289,3912,147
466 c.fcs,466,466,3,l,326,9035,173
466 d.fcs,466,466,5,l,385,9960,192
466 e.fcs,466,466,5,l,556,5136,177
495 a.fcs,495,495,3,l,3786,4274,136
495 b.fcs,495,495,3,l,1006,1748,87.8
495 c.fcs,495,495,3,l,1917,2468,136
495 d.fcs,495,495,5,o,365,9789,350
534 a.fcs,534,534,3,b,1690,1756,160
534 b.fcs,534,534,3,s,2746,3038,97.8
534 c.fcs,534,534,3,s,3578,4161,181
534 d.fcs,534,534,5,s,3775,3974,158
535 a.fcs,535,535,3,s,2242,2275,129
535 b.fcs,535,535,3,s,1388,1515,54.6
535 c.fcs,535,535,3,l,3423,4563,121
535 d.fcs,535,535,5,s,4185,4357,143
538 a.fcs,538,538,3,s,2741,2881,252
538 b.fcs,538,538,3,l,2287,3198,92
538 c.fcs,538,538,3,s,1954,1997,130
541 a.fcs,541,541,3,l,3530,4602,104
541 b.fcs,541,541,3,l,2592,4592,93.7
541 c.fcs,541,541,3,l,4380,6129,118
546 a.fcs,546,546,3,s,2476,2499,143
546 b.fcs,546,546,3,s,4182,4385,97.4
546 c.fcs,546,546,3,s,4079,4569,114
546 d.fcs,546,546,5,s,5353,6044,126
547 a.fcs,547,547,3,o,1349,1381,110
547 b.fcs,547,547,3,l,1544,2647,71.5
547 c.fcs,547,547,3,s,2680,3121,130
547 d.fcs,547,547,5,s,2321,2463,156
547 e.fcs,547,547,5,s,3967,4945,169
547 f.fcs,547,547,5,s,4293,4679,186
549 a.fcs,549,549,3,l,362,5976,99.7
549 b.fcs,549,549,3,l,116,4618,90.4
549 c.fcs,549,549,3,l,2446,5593,144
549 d.fcs,549,549,5,l,4080,5565,133
549 e.fcs,549,549,5,l,3345,6858,163
549 f.fcs,549,549,5,l,4228,6857,176
