Line,High.Cor,sd,se
230,4443,676.6109172,478.4361678
236,3455,331.4694556,234.3842998
243,4450,591.4425867,418.2130637
247,3511,322.8627159,228.2984158
250,6654,291.6184722,206.2053992
252,4595,527.0866469,372.7065423
255,3798,941.9654983,666.0701915
262,3331,457.275628,323.3426975
291,6372,1136.447242,803.5895511
292,3338,622.8357194,440.4113607
300,2856.5,1282.522644,740.464794
326,3667,2463.033049,1231.516524
332,4444,523.7044332,370.314956
357,3998,2024.456223,1431.506724
360,3113,632.1373796,364.9646863
362,3259,515.3700936,364.421688
377,4292.5,1695.310591,978.7880261
379,3999,838.0538964,592.5935932
382,6964,1644.965147,1163.16601
389,2907.5,2064.600748,1191.997798
390,4237.881303,769.7894956,544.3233724
393,7947,3213.079646,1606.539823
395,6832.5,3273.985995,1464.171049
422,3922.035676,1192.341126,688.3984699
438,3899.639242,175.0278421,123.763374
443,4912.000096,990.6074744,700.4652626
447,4084.134911,1339.844823,947.4133603
450,4066.789165,316.2718128,223.6379435
461,3890.177925,1067.649205,754.9419925
462,4261.534594,310.9629051,219.8839789
466,5136,2748.864366,1374.432183
495,2468,1301.327015,920.1771569
534,3506,1099.972234,635.0692657
535,3316,1515.392468,874.9122496
538,2881,622.4074228,440.1085093
541,4602,884.5147446,625.4463739
546,4477,1454.036995,839.4886506
547,3121,1161.839059,580.9195297
549,5784.5,858.9108025,384.1165882
