"","node","bootstrap"
"1",57,NA
"2",58,100
"3",59,100
"4",60,100
"5",61,43
"6",62,20
"7",63,100
"8",64,81
"9",65,92
"10",66,100
"11",67,57
"12",68,95
"13",69,100
"14",70,17
"15",71,7
"16",72,1
"17",73,2
"18",74,3
"19",75,2
"20",76,7
"21",77,27
"22",78,16
"23",79,100
"24",80,24
"25",81,75
"26",82,14
"27",83,30
"28",84,43
"29",85,87
"30",86,46
"31",87,45
"32",88,97
"33",89,27
"34",90,96
"35",91,94
"36",92,86
"37",93,56
"38",94,34
"39",95,80
"40",96,86
"41",97,83
"42",98,89
"43",99,79
"44",100,90
"45",101,47
"46",102,73
"47",103,93
"48",104,100
"49",105,69
"50",106,20
"51",107,100
"52",108,33
"53",109,100
"54",110,100
