"name","chrom","chromStart","chromEnd","length","alias","description","freq.gene","freq.up","freq.syn","total"
"CNAG_00004","chr1","16736","19388","2652","null","hypothetical protein CNAG_00004","0","1","0",1
"CNAG_00005","chr1","20906","22642","1736","null","TPR repeat-containing protein","0","1","0",1
"CNAG_00008","chr1","28619","32831","4212","null","hypothetical protein CNAG_00008","0","3","0",3
"CNAG_00010","chr1","36020","39419","3399","null","cation transporter","1","0","0",1
"CNAG_00013","chr1","45340","46007","667","null","hypothetical protein CNAG_00013","0","1","0",1
"CNAG_00015","chr1","50476","51193","717","null","hypothetical protein CNAG_00015","0","1","0",1
"CNAG_00017","chr1","54702","57423","2721","null","hypothetical protein CNAG_00017","1","0","1",2
"CNAG_00018","chr1","59229","61865","2636","null","hypothetical protein CNAG_00018","5","0","0",5
"CNAG_00019","chr1","62033","62415","382","null","mitochondrial import inner membrane translocase subunit TIM9","0","1","0",1
"CNAG_00020","chr1","62588","66221","3633","null","hypothetical protein CNAG_00020","2","0","0",2
"CNAG_00043","chr1","130356","132334","1978","null","hypothetical protein CNAG_00043","0","1","0",1
"CNAG_00073","chr1","201593","204477","2884","null","nuclear mRNA splicing protein","0","6","1",7
"CNAG_00074","chr1","205680","208220","2540","null","protein PNS1","1","0","2",3
"CNAG_00075","chr1","208635","209249","614","null","hypothetical protein CNAG_00075","0","3","1",4
"CNAG_00078","chr1","217128","221286","4158","null","vacuolar protein","0","1","2",3
"CNAG_00079","chr1","223667","224474","807","null","hypothetical protein CNAG_00079","0","1","0",1
"CNAG_00080","chr1","225551","227173","1622","null","hypothetical protein CNAG_00080","1","1","0",2
"CNAG_00081","chr1","227666","230931","3265","null","pre-mRNA-processing factor 6","0","0","1",1
"CNAG_00084","chr1","236469","239638","3169","null","glutamine-tRNA ligase","1","1","0",2
"CNAG_00090","chr1","249912","251676","1764","null","hypothetical protein CNAG_00090","0","0","1",1
"CNAG_00092","chr1","256069","256590","521","null","mitochondrial protein","0","3","0",3
"CNAG_00093","chr1","256916","259695","2779","null","hypothetical protein CNAG_00093","8","74","9",91
"CNAG_00094","chr1","261285","262588","1303","null","NAD-dependent epimerase/dehydratase","1","15","16",32
"CNAG_00095","chr1","262739","266546","3807","null","hypothetical protein CNAG_00095","5","0","9",14
"CNAG_00096","chr1","266961","268587","1626","null","hypothetical protein CNAG_00096","2","2","2",6
"CNAG_00098","chr1","273829","275038","1209","null","palmitoyl-protein thioesterase","0","0","1",1
"CNAG_00099","chr1","275157","278008","2851","null","minichromosome maintenance protein 3","0","1","1",2
"CNAG_00101","chr1","280893","281839","946","null","hypothetical protein CNAG_00101","0","1","0",1
"CNAG_00104","chr1","285901","289440","3539","null","elongation factor 3","0","0","1",1
"CNAG_00105","chr1","289772","291138","1366","null","pyridoxal reductase","1","2","0",3
"CNAG_00106","chr1","292159","296404","4245","TCO5","two-component system sensor protein","1","1","0",2
"CNAG_00117","chr1","316825","318851","2026","ERG24","delta14-sterol reductase","2","0","2",4
"CNAG_00119","chr1","319922","320592","670","null","hypothetical protein CNAG_00119","0","0","1",1
"CNAG_00122","chr1","324829","326898","2069","null","alpha-amylase","0","1","2",3
"CNAG_00127","chr1","341632","343375","1743","null","hypothetical protein CNAG_00127","0","1","0",1
"CNAG_00132","chr1","360605","362888","2283","null","hypothetical protein CNAG_00132","0","3","0",3
"CNAG_00133","chr1","364008","364781","773","null","hypothetical protein CNAG_00133","0","1","0",1
"CNAG_00136","chr1","368615","372320","3705","null","ubiquitin-activating enzyme E1","0","1","0",1
"CNAG_00137","chr1","372877","374191","1314","null","hypothetical protein CNAG_00137","1","0","0",1
"CNAG_00140","chr1","379229","380739","1510","null","U1 small nuclear ribonucleoprotein 70kDa","0","1","0",1
"CNAG_00142","chr1","383256","385933","2677","null","hypothetical protein CNAG_00142","2","0","0",2
"CNAG_00143","chr1","386986","389134","2148","null","phosphoribosylaminoimidazolesuccinocarboxamide synthase","1","0","0",1
"CNAG_00144","chr1","389309","390317","1008","null","hypothetical protein CNAG_00144","0","0","1",1
"CNAG_00150","chr1","411943","415150","3207","null","peptidase","1","1","1",3
"CNAG_00151","chr1","415523","418296","2773","null","transcription elongation regulator 1","4","0","3",7
"CNAG_00152","chr1","418482","420087","1605","null","hypothetical protein CNAG_00152","1","1","0",2
"CNAG_00154","chr1","422287","424170","1883","null","oxidoreductase","2","0","0",2
"CNAG_00156","chr1","427608","431302","3694","SP1","hypothetical protein CNAG_00156","0","1","0",1
"CNAG_00158","chr1","433036","435353","2317","null","glycosyltransferase","0","2","0",2
"CNAG_00159","chr1","435868","436123","255","null","hypothetical protein CNAG_00159","0","1","0",1
"CNAG_00160","chr1","436421","437840","1419","null","hypothetical protein CNAG_00160","0","0","1",1
"CNAG_00161","chr1","437991","439360","1369","null","auxin-induced protein","0","1","1",2
"CNAG_00162","chr1","439854","441268","1414","AOX1","alternative oxidase, mitochondrial","0","0","1",1
