"gene","chr","pos","class","effect","pheno","logistic regression"
"CNAG_00014",1,47564,"b","ns","GCSF","est = -1.53, error = 0.76, z = -2, p = 0.045"
"CNAG_00014",1,47575,"b","ns","GCSF","est = -1.62, error = 0.78, z = -2.08, p = 0.038"
"CNAG_00014",1,47671,"b","ns","GMCSF","est = 1.15, error = 0.49, z = 2.35, p = 0.019"
"CNAG_00363",1,927896,"b","ns","IL2","est = 0.57, error = 0.27, z = 2.09, p = 0.036"
"CNAG_00363",1,927901,"b","ns","IL2","est = 0.57, error = 0.27, z = 2.09, p = 0.036"
"CNAG_07950",1,975397,"b","upstream","efa","est = -31.27, error = 13.51, z = -2.32, p = 0.021"
"CNAG_07950",1,975152,"ab","upstream","IL8","est = 0.98, error = 0.44, z = 2.23, p = 0.026"
"CNAG_07950",1,975152,"ab","upstream","hivrna","est = 0, error = 0, z = 1.98, p = 0.048"
"CNAG_07950",1,975212,"ab","upstream","IL4","est = -0.79, error = 0.36, z = -2.21, p = 0.027"
"CNAG_07950",1,975212,"ab","upstream","IL6","est = -0.43, error = 0.17, z = -2.48, p = 0.013"
"CNAG_07950",1,975212,"ab","upstream","IL8","est = -1.13, error = 0.43, z = -2.62, p = 0.009"
"CNAG_07950",1,975212,"ab","upstream","GMCSF","est = -0.92, error = 0.42, z = -2.17, p = 0.03"
"CNAG_07950",1,975212,"ab","upstream","IFNg","est = -0.67, error = 0.31, z = -2.18, p = 0.029"
"CNAG_07950",1,975212,"ab","upstream","FLC","est = -0.06, error = 0.03, z = -2.11, p = 0.034"
"CNAG_07837",10,13558,"b","UTR-5","IL2","est = 0.4, error = 0.19, z = 2.06, p = 0.039"
"CNAG_07837",10,15288,"b","UTR-3","csf_wbc","est = 0.01, error = 0.01, z = 2.01, p = 0.044"
"CNAG_07837",10,15302,"b","UTR-3","cd4","est = -0.19, error = 0.1, z = -1.96, p = 0.049"
"CNAG_04922",10,18908,"b","upstream","IL2","est = -0.49, error = 0.22, z = -2.2, p = 0.028"
"CNAG_04922",10,18915,"b","upstream","IL2","est = -0.49, error = 0.22, z = -2.2, p = 0.028"
"CNAG_04922",10,18933,"b","upstream","IL2","est = -0.46, error = 0.22, z = -2.11, p = 0.035"
