"gene","chr","pos","class","effect","pheno","numPhen"
"CNAG_00014",1,47564,"b","ns","GCSF",1
"CNAG_00014",1,47575,"b","ns","GCSF",1
"CNAG_00014",1,47671,"b","ns","GMCSF",1
"CNAG_00363",1,927896,"b","ns","IL2",1
"CNAG_00363",1,927901,"b","ns","IL2",1
"CNAG_01241",5,836479,"b","upstream","IL2",1
"CNAG_01241",5,836697,"ab","upstream","IL4;IL5;IL7;IL17;GMCSF;TNFa;chitin",7
"CNAG_01241",5,836899,"ab","upstream","IL5;IL12;IL13;IL17;GCSF;TNFa",6
"CNAG_01371",5,475470,"a","UTR-5","MCP1;hivrna",2
"CNAG_01802",11,966644,"b","upstream","csf_wbc",1
"CNAG_01802",11,966669,"b","upstream","IL2",1
"CNAG_01802",11,966700,"b","upstream","IL7",1
"CNAG_02112",6,1160524,"b","upstream","AMP",1
"CNAG_02112",6,1160528,"b","upstream","AMP",1
"CNAG_02112",6,1160532,"b","upstream","AMP",1
"CNAG_02176",6,988843,"b","ns","MIP1b",1
"CNAG_02176",6,988922,"b","ns","LFA_Titer",1
"CNAG_02176",6,989188,"b","ns","IL12",1
"CNAG_02176",6,989334,"b","ns","AMP",1
"CNAG_02176",6,989732,"b","ns","IL2",1
"CNAG_02176",6,990777,"b","STOP_GAINED","MIP1b",1
"CNAG_02176",6,990885,"b","start+","SERT",1
"CNAG_02176",6,988405,"ab","UTR-3","chitin;SERT",2
"CNAG_02176",6,988733,"ab","STOP_GAINED","IL1b;IL13;MCP1;MIP1b",4
"CNAG_02176",6,989490,"ab","ns","hivrna;SERT",2
"CNAG_02176",6,990771,"ab","ns","IL10;MIP1b",2
"CNAG_02176",6,990851,"ab","ns","IL10;MIP1b",2
"CNAG_02176",6,991027,"ab","UTR-5","IL13;TNFa;Survival",3
"CNAG_02177",6,990701,"a","upstream","IL1b;IL6;IL10",3
"CNAG_02475",6,221275,"b","upstream","growth",1
"CNAG_02475",6,221282,"b","upstream","growth",1
"CNAG_02475",6,221273,"ab","upstream","IL7;growth",2
"CNAG_02798",3,750294,"a","upstream","cd4;AMP",2
