"","chrom","chromStart","chromEnd","Strand","name","length","description","alias"
"4","chr1",11060,11501,"-","CNAG_00001",108,"hypothetical protein CNAG_00001","null"
"6","chr1",12800,13578,"+","CNAG_00002",174,"hypothetical protein CNAG_00002","null"
"7","chr1",14115,16370,"-","CNAG_00003",536,"drug transporter","null"
"8","chr1",16736,19388,"-","CNAG_00004",687,"hypothetical protein CNAG_00004","null"
"9","chr1",20906,22642,"-","CNAG_00005",578,"TPR repeat-containing protein","null"
"10","chr1",24790,26105,"-","CNAG_00006",318,"prohibitin-2","null"
"11","chr1",26374,28447,"+","CNAG_00007",582,"methionine-tRNA ligase","null"
"12","chr1",28619,32831,"-","CNAG_00008",1169,"hypothetical protein CNAG_00008","null"
"13","chr1",33159,34577,"+","CNAG_00009",365,"calcium-binding protein","null"
"14","chr1",36020,39419,"-","CNAG_00010",989,"cation transporter","null"
"15","chr1",40321,42079,"+","CNAG_00011",320,"hypothetical protein CNAG_00011","null"
"16","chr1",43365,44818,"+","CNAG_00012",386,"hypothetical protein CNAG_00012","null"
"17","chr1",45340,46007,"-","CNAG_00013",204,"hypothetical protein CNAG_00013","null"
"18","chr1",46824,48841,"+","CNAG_00014",613,"hypothetical protein CNAG_00014","null"
"19","chr1",50476,51193,"+","CNAG_00015",212,"hypothetical protein CNAG_00015","null"
"20","chr1",53388,54027,"+","CNAG_00016",84,"U6 snRNA-associated Sm-like protein LSm5","null"
"21","chr1",54702,57423,"-","CNAG_00017",786,"hypothetical protein CNAG_00017","null"
"22","chr1",59229,61865,"+","CNAG_00018",796,"hypothetical protein CNAG_00018","null"
"23","chr1",62033,62415,"-","CNAG_00019",89,"mitochondrial import inner membrane translocase subunit TIM9","null"
"24","chr1",62588,66221,"+","CNAG_00020",997,"hypothetical protein CNAG_00020","null"
"25","chr1",66948,68523,"-","CNAG_00021",467,"S-adenosylmethionine decarboxylase proenzyme","null"
"26","chr1",69162,70126,"-","CNAG_00022",269,"cytochrome c heme-lyase","null"
"27","chr1",70438,71659,"-","CNAG_00023",361,"hypothetical protein CNAG_00023","null"
"28","chr1",74340,76871,"+","CNAG_00024",750,"hypothetical protein CNAG_00024","null"
"29","chr1",78201,80580,"-","CNAG_00025",606,"calcium/proton exchanger","VCX1"
"30","chr1",81301,82983,"-","CNAG_00026",460,"kynurenine aminotransferase","null"
"31","chr1",84072,86655,"+","CNAG_00027",735,"transcriptional activator","null"
"32","chr1",87815,89843,"-","CNAG_00028",493,"high-affinity nicotinic acid transporter","null"
"33","chr1",90490,91786,"+","CNAG_00029",357,"D-3-phosphoglycerate dehydrogenase","null"
"34","chr1",92137,93365,"+","CNAG_00030",311,"D-3-phosphoglycerate dehydrogenase","null"
"35","chr1",93506,96545,"-","CNAG_00031",813,"hypothetical protein CNAG_00031","null"
"36","chr1",96969,97867,"+","CNAG_00032",267,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase","null"
"37","chr1",99045,99578,"-","CNAG_00033",159,"hypothetical protein CNAG_00033","null"
"39","chr1",101235,102263,"+","CNAG_00034",191,"large subunit ribosomal protein L9e","RPL9B"
"40","chr1",106378,108225,"+","CNAG_00035",526,"hypothetical protein CNAG_00035","null"
"41","chr1",108971,110289,"-","CNAG_00036",289,"Sec14 cytosolic factor","SEC14-2"
"43","chr1",114073,115545,"-","CNAG_00038",365,"alcohol dehydrogenase","null"
"44","chr1",120725,123282,"+","CNAG_00039",814,"hypothetical protein CNAG_00039","null"
"45","chr1",124079,126188,"+","CNAG_00040",547,"cytochrome P450, family 51 (sterol 14-demethylase)","ERG11"
