"gene","chr","pos","class","effect","pheno","odds ratio (CI)","logistic regression"
"CNAG_00014",1,47564,"b","ns","GCSF","0.22 (0.05,0.97) ","est = -1.53, error = 0.76, z = -2, p = 0.045"
"CNAG_00014",1,47575,"b","ns","GCSF","0.2 (0.04,0.91) ","est = -1.62, error = 0.78, z = -2.08, p = 0.038"
"CNAG_00014",1,47671,"b","ns","GMCSF","3.17 (1.21,8.32) ","est = 1.15, error = 0.49, z = 2.35, p = 0.019"
"CNAG_00363",1,927896,"b","ns","IL2","1.78 (1.04,3.04) ","est = 0.57, error = 0.27, z = 2.09, p = 0.036"
"CNAG_00363",1,927901,"b","ns","IL2","1.78 (1.04,3.04) ","est = 0.57, error = 0.27, z = 2.09, p = 0.036"
"CNAG_01241",5,836479,"b","upstream","IL2","1.97 (1.15,3.37) ","est = 0.68, error = 0.28, z = 2.46, p = 0.014"
"CNAG_01241",5,836697,"ab","upstream","IL4","1.93 (1.03,3.62) ","est = 0.66, error = 0.32, z = 2.06, p = 0.039"
"CNAG_01241",5,836697,"ab","upstream","IL5","2.81 (1.27,6.2) ","est = 1.03, error = 0.4, z = 2.55, p = 0.011"
"CNAG_01241",5,836697,"ab","upstream","IL7","3.05 (1.08,8.64) ","est = 1.11, error = 0.53, z = 2.1, p = 0.036"
"CNAG_01241",5,836697,"ab","upstream","IL17","2.11 (1.01,4.41) ","est = 0.75, error = 0.38, z = 1.99, p = 0.047"
"CNAG_01241",5,836697,"ab","upstream","GMCSF","3.18 (1.26,8.02) ","est = 1.16, error = 0.47, z = 2.45, p = 0.014"
"CNAG_01241",5,836697,"ab","upstream","TNFa","2.3 (1.16,4.56) ","est = 0.83, error = 0.35, z = 2.4, p = 0.017"
"CNAG_01241",5,836697,"ab","upstream","chitin","1.0009 (1.0001,1.0017) ","est = 0, error = 0, z = 2.14, p = 0.032"
"CNAG_01241",5,836899,"ab","upstream","IL5","0.17 (0.03,0.88) ","est = -1.74, error = 0.82, z = -2.11, p = 0.035"
"CNAG_01241",5,836899,"ab","upstream","IL12","0.3 (0.11,0.81) ","est = -1.21, error = 0.51, z = -2.38, p = 0.017"
"CNAG_01241",5,836899,"ab","upstream","IL13","0.38 (0.16,0.9) ","est = -0.96, error = 0.44, z = -2.19, p = 0.028"
"CNAG_01241",5,836899,"ab","upstream","IL17","0.45 (0.23,0.9) ","est = -0.79, error = 0.35, z = -2.25, p = 0.025"
"CNAG_01241",5,836899,"ab","upstream","GCSF","12.58 (1.38,114.77) ","est = 2.53, error = 1.13, z = 2.24, p = 0.025"
"CNAG_01241",5,836899,"ab","upstream","TNFa","0.34 (0.14,0.81) ","est = -1.08, error = 0.44, z = -2.43, p = 0.015"
